Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Age,Pos,Salary
Kyle Allen,,,,,,,,,O,IR,IR,IR,IR,IR,,,
Ryan Anderson,,,,Q,,Q,,,,O,O,,IR,IR,,,
Jeff Badet,,,,,,,,,Q,,,,,,26,WR,352941
Marcus Baugh,,,,,O,,,,,,,,,,26,TE,610000
Ryan Bee,IR,IR,,,,,,,,,,,,,,,
Caleb Brantley,IR,,,,,,,,IR,,,,,,,,
Saahdiq Charles,Q,,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Geron Christian,,,,,,,Q,D,O,IR,IR,IR,IR,IR,,,
Landon Collins,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Thomas Davis,O,Q,,,,,,,,,,,,,37,LB,1500000
Deshazor Everett,,,,,,,,,,,O,,,,,,
Reuben Foster,,,,,,,,,IR,,,,,,,,
Robert Foster,,,,,,,O,,,,,,,,26,WR,485294
Kendall Fuller,D,Q,,,,,,,,,,,,,25,CB,1000000
Antonio Gandy-Golden,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joshua Garnett,,,,,,O,IR,,,,,,,,,,
Emanuel Hall,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kelvin Harmon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Harvey-Clemons,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Temarrick Hemingway,,,,,,,,,,,,,IR,IR,,,
Cole Holcomb,,O,O,O,Q,,,,,,,,,,24,LB,675000
Dustin Hopkins,,,,,,,,,Q,Q,Q,,,,30,K,2400000
Dontrelle Inman,,,,,,,,D,O,Q,,,,,31,WR,910000
Matthew Ioannidis,,,,IR,IR,IR,IR,IR,IR,IR,C19,IR,IR,IR,,,
Mike Liedtke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Bryce Love,,,,,,,,,IR,,,,,,,,
Cornelius Lucas,,,,,,,,,,O,Q,,,,29,T,910000
Terry McLaurin,,,,Q,,,,,,,Q,,,,25,WR,681451
Morgan Moses,,,Q,Q,,,,,,,,,,,29,OT,6500000
Thaddeus Moss,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jared Norris,,,,,,,,,O,O,O,,,,27,LB,679412
Kevin Pierre-Louis,,,,Q,,,,,,,,,,,29,OLB,1150000
Chase Roullier,,,,,Q,,,,,,,,,,27,C,2133000
Brandon Scherff,,,IR,IR,IR,IR,,,,,,,,,29,G,15030000
Wes Schweitzer,,,,,Q,,,,,,,,,,27,OT,1000000
David Sharpe,,,,,,O,,,,,,,,,25,OT,2133000
Steven Sims,,,Q,O,IR,IR,IR,IR,,,,,,,23,WR,616176
James Smith-Williams,,,,,,,O,,,,,,,,23,DL,610000
Greg Stroman,,,,,O,,,,IR,,,,,,,,
Nick Sundberg,,,,,,,,,,Q,,,,,33,C,1050000
Jordan Veasy,IR,IR,IR,IR,IR,,,,,,,,,,,,
Isaiah Wright,,,,,,,O,,,Q,,,,,23,WR,610000
Chase Young,,,,O,Q,,,,,,,,,,21,DL,610000
