Player ,09/11vs. DEN,09/17vs. MIA,09/24vs. KAN,10/01vs. PHI,10/08vs. NYG,10/15vs. OAK,10/22vs. DEN,10/29vs. NWE,11/12vs. JAX,11/19vs. BUF,11/23vs. DAL,12/03vs. CLE,12/10vs. WAS,12/16vs. KAN,12/24vs. NYJ,12/31vs. OAK,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Keenan Allen,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Attaochu,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Barksdale,,,Q,Q,Q,Q,Q,D,Q,O,Q,,,,Q,,72.0,29.0,RT,11.0,11.0,326.0,2020-06-05,LSU,1988-01-01,6,6.0,Oakland Raiders / 3rd / 92nd pick / 2011,4500000.0
Travis Benjamin,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Tre Boston,Q,,,,,,,,,,,,,,,,33.0,25.0,FS,16.0,15.0,205.0,2020-06-01,North Carolina,1992-06-25,3,7.0,Carolina Panthers / 4th / 128th pick / 2014,700000.0
Jatavis Brown,,,,,Q,Q,,,,,,,,,,,57.0,23.0,rlb,16.0,5.0,221.0,2020-05-11,Akron,1994-02-18,1,4.0,San Diego Chargers / 5th / 175th pick / 2016,540000.0
Asante Cleveland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Austin Ekeler,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Melvin Gordon,,,Q,Q,,,Q,Q,,,,,,,,Q,28.0,24.0,RB,16.0,16.0,215.0,2020-06-01,Wisconsin,1993-04-13,2,10.0,San Diego Chargers / 1st / 15th pick / 2015,1404980.0
Chris Hairston,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Casey Hayward,,,,,,,,,,,,Q,,Q,,,,,,,,,,,,,,,
Hunter Henry,,,,,,,,,,,,,,,IR,IR,86.0,23.0,TE,14.0,13.0,250.0,2020-06-05,Arkansas,1994-12-07,1,5.0,San Diego Chargers / 2nd / 35th pick / 2016,740014.0
Dontrelle Inman,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayshawn Jenkins,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Lamp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Landrum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Liuget,,,,,,,Q,Q,,,Q,Q,Q,,O,Q,94.0,27.0,RDT,12.0,12.0,300.0,2020-06-02,Illinois,1990-03-18,6,6.0,San Diego Chargers / 1st / 18th pick / 2011,8000000.0
Chris McCain,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Sean McGrath,Q,Q,,Q,Q,,,,,,,,,,,,84.0,30.0,TE,15.0,6.0,255.0,2020-06-05,Henderson St.,1987-12-03,5,0.0,,615000.0
Charmeachealle Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nick Novak,,,,,,,,,,,,Q,IR,IR,IR,IR,,,,,,,,,,,,,
Russell Okung,,,,,,,,,,,Q,,,,Q,Q,,,,,,,,,,,,,
Branden Oliver,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,,
James Onwualu,,,,,,,,,,D,Q,,,,,,,,,,,,,,,,,,
Denzel Perryman,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,O,Q,52.0,25.0,RLB,7.0,6.0,240.0,2020-05-11,Miami (FL),1992-12-05,2,3.0,San Diego Chargers / 2nd / 48th pick / 2015,831724.0
Adrian Phillips,,,,,,,Q,,,,,,,,,O,,,,,,,,,,,,,
Hayes Pullard,,,Q,Q,,,,,Q,D,Q,,,,,,50.0,25.0,MLB,13.0,10.0,235.0,2000-06-01,USC,1992-04-18,2,6.0,Cleveland Browns / 7th / 219th pick / 2015,615000.0
Philip Rivers,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Matt Slauson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,68.0,31.0,lg,7.0,7.0,315.0,2020-06-05,Nebraska,1986-02-18,8,3.0,New York Jets / 6th / 193rd pick / 2009,2000000.0
Darrell Stuckey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jason Verrett,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andre Williams,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Mike Williams,IR,O,O,O,O,Q,,,,,Q,O,Q,,,,,,,,,,,,,,,,
Tyrell Williams,,,,,Q,,,,,,,,,,,,16.0,25.0,RCB,16.0,15.0,205.0,2020-06-04,Western Oregon,1992-02-12,2,6.0,,615000.0
