Player ,09/09vs. CAR,09/16vs. NYG,09/23vs. SEA,09/30vs. DET,10/07vs. HOU,10/14vs. JAX,10/21vs. WAS,11/05vs. TEN,11/11vs. PHI,11/18vs. ATL,11/22vs. WAS,11/29vs. NOR,12/09vs. PHI,12/16vs. IND,12/23vs. TAM,12/30vs. NYG,01/05vs. SEA,01/12vs. LAR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Tavon Austin,,,,,,,O,O,O,O,O,O,O,Q,Q,,,,,,,,,,,,,,,,
Chidobe Awuzie,Q,,,,Q,Q,Q,,,,,,,,,,,,24.0,23.0,LCB,15.0,14.0,202.0,2000-06-01,Colorado,1995-05-24,1,5.0,Dallas Cowboys / 2nd / 60th pick / 2017,659709.0
Cole Beasley,,,Q,Q,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Anthony Brown,,,,,,,,,,,,,,,Q,Q,,,30.0,25.0,DB,15.0,10.0,196.0,2020-05-11,Purdue,1993-12-15,2,4.0,Dallas Cowboys / 6th / 189th pick / 2016,630000.0
Noah Brown,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,
Brice Butler,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Maliek Collins,,,O,O,Q,Q,,,,Q,Q,Q,,,,,,Q,96.0,23.0,LDT,13.0,9.0,308.0,2020-06-02,Nebraska,1995-04-08,2,5.0,Dallas Cowboys / 3rd / 67th pick / 2016,755000.0
Tyrone Crawford,,,,,,,,,,,,,,,,O,,,98.0,29.0,RDE,15.0,15.0,290.0,2020-06-04,Boise St.,1989-11-22,6,7.0,Dallas Cowboys / 3rd / 81st pick / 2012,6000000.0
Parker Ehinger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kavon Frazier,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Gallup,,,,,,,,,,,,,Q,,,,,,13.0,22.0,WR,16.0,8.0,198.0,2020-06-01,Colorado St.,1996-03-04,Rook,4.0,Dallas Cowboys / 3rd / 81st pick / 2018,480000.0
C.J. Goodwin,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Randy Gregory,,D,,,,Q,,Q,Q,,,,,Q,,,,,,,,,,,,,,,,,
Allen Hurns,,,,,,,,,,,,,,,,,,IR,17.0,27.0,wr,16.0,7.0,195.0,2020-06-03,Miami (FL),1991-11-12,4,3.0,,2500000.0
David Irving,,,,,,,,O,O,O,O,O,O,O,O,O,,O,,,,,,,,,,,,,
Blake Jarwin,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Datone Jones,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeMarcus Lawrence,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Lee,,,Q,O,O,O,,,O,O,O,O,O,Q,Q,Q,,,50.0,32.0,rlb,7.0,5.0,245.0,2020-06-02,Penn St.,1986-07-22,8,3.0,Dallas Cowboys / 2nd / 55th pick / 2010,7000000.0
Lance Lenoir,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Marcus Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zack Martin,,,,,,,,Q,,Q,Q,Q,,O,Q,Q,,,,,,,,,,,,,,,
Adam Redmond,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Daniel Ross,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,
Jameill Showers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyron Smith,,,,,,,,,,,Q,Q,Q,Q,,Q,,,,,,,,,,,,,,,
Xavier Su'a-Filo,,,,,,,,,,,,Q,,,,,,Q,76.0,27.0,LG,8.0,8.0,310.0,2020-06-04,UCLA,1991-01-01,4,3.0,Houston Texans / 2nd / 33rd pick / 2014,743529.0
Geoff Swaim,,,,,,,,D,Q,,IR,IR,IR,IR,O,IR,IR,IR,87.0,25.0,TE,9.0,9.0,260.0,2020-06-04,Texas,1993-09-16,3,2.0,Dallas Cowboys / 7th / 246th pick / 2015,705000.0
Joe Thomas,,,,,,O,O,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,
Darian Thompson,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Deonte Thompson,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Williams,,,,,,,,,O,Q,Q,,,,,,,,52.0,21.0,LG,13.0,10.0,298.0,2020-06-05,Texas,1997-05-12,Rook,4.0,Dallas Cowboys / 2nd / 50th pick / 2018,480000.0
Terrance Williams,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cedrick Wilson Jr.,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Antwaun Woods,,,,Q,Q,,,,,D,Q,,,,,,,,99.0,25.0,RDT,15.0,15.0,318.0,2020-06-01,USC,1993-01-03,2,7.0,,480000.0
Xavier Woods,O,O,Q,,,,,,,,,,,,,,,,25.0,23.0,FS,14.0,14.0,202.0,2020-05-11,Louisiana Tech,1995-07-26,1,5.0,Dallas Cowboys / 6th / 191st pick / 2017,555000.0
