Player ,09/13vs. CHI,09/20vs. SEA,09/28vs. KAN,10/04vs. SFO,10/11vs. STL,10/18vs. SDG,11/01vs. DEN,11/08vs. CAR,11/15vs. DET,11/22vs. MIN,11/26vs. CHI,12/03vs. DET,12/13vs. DAL,12/20vs. OAK,12/27vs. ARI,01/03vs. MIN,01/10vs. WAS,01/16vs. ARI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jared Abbrederis,,,,,,,,,,O,O,P,,,,,,,,,,,,,,,,,,,
Davante Adams,,,Q,Q,Q,Q,P,,,,P,,,Q,,,,O,17.0,23.0,WR,13.0,12.0,215.0,2020-06-01,Fresno St.,1992-12-24,1,4.0,Green Bay Packers / 2nd / 53rd pick / 2014,893955.0
David Bakhtiari,,,,,,,,,,P,P,,P,P,Q,Q,Q,P,69.0,24.0,LT,14.0,14.0,310.0,2020-06-04,Colorado,1991-09-30,2,8.0,Green Bay Packers / 4th / 109th pick / 2013,698850.0
Sam Barrington,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Boyd,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryan Bulaga,,O,O,O,Q,P,,,P,P,P,Q,Q,P,P,P,P,,75.0,26.0,RT,12.0,12.0,314.0,2020-06-05,Iowa,1989-03-21,5,6.0,Green Bay Packers / 1st / 23rd pick / 2010,3568750.0
Morgan Burnett,Q,Q,Q,Q,Q,Q,P,,P,P,P,,,,,,,,42.0,26.0,SS,11.0,11.0,210.0,2020-06-01,Georgia Tech,1989-01-13,5,4.0,Green Bay Packers / 3rd / 71st pick / 2010,5131250.0
Randall Cobb,P,P,P,P,P,P,,,,,,,,,,,,,18.0,25.0,WR,16.0,15.0,192.0,2020-05-10,Kentucky,1990-08-22,4,8.0,Green Bay Packers / 2nd / 64th pick / 2011,5350000.0
Mike Daniels,,,,,,,,,,,,,,Q,P,Q,P,P,76.0,26.0,RDE,16.0,16.0,310.0,2000-06-01,Iowa,1989-05-05,3,9.0,Green Bay Packers / 4th / 132nd pick / 2012,1617146.0
Jayrone Elliott,,P,,,P,,,,,P,P,,,,O,O,Q,P,,,,,,,,,,,,,
Brett Goode,,,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Demetri Goodson,,,O,D,Q,P,,,,,,P,,,,,,,,,,,,,,,,,,,
Letroy Guion,,,,,,,,,,,,,,,Q,P,P,,,,,,,,,,,,,,
Ladarius Gunter,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Hayward,,,,,,,,,P,,,,,P,,P,,,29.0,26.0,DB,16.0,11.0,192.0,2020-05-11,Vanderbilt,1989-09-09,3,4.0,Green Bay Packers / 2nd / 62nd pick / 2012,1053154.0
Micah Hyde,,,,,,,,,P,Q,Q,P,,,,,,,33.0,25.0,ss,15.0,7.0,197.0,2000-06-01,Iowa,1990-12-31,2,4.0,Green Bay Packers / 5th / 159th pick / 2013,629527.0
Datone Jones,,,,P,,,,,,,,,,,,,Q,P,,,,,,,,,,,,,
James Jones,,,,,P,P,,,P,P,,,,,,,,,89.0,31.0,WR,16.0,15.0,208.0,2020-06-01,San Jose St.,1984-03-31,8,8.0,Green Bay Packers / 3rd / 78th pick / 2007,585000.0
Eddie Lacy,,,Q,P,,,,,Q,P,P,,,,P,P,P,P,27.0,25.0,RB,15.0,12.0,250.0,2020-05-11,Alabama,1990-06-02,2,7.0,Green Bay Packers / 2nd / 61st pick / 2013,925203.0
T.J. Lang,,,,,,P,,,P,Q,P,Q,P,Q,P,P,P,P,70.0,28.0,RG,15.0,15.0,315.0,2020-06-04,East. Michigan,1987-09-20,6,7.0,Green Bay Packers / 4th / 109th pick / 2009,5800000.0
Corey Linsley,,,,,,,,,,,Q,Q,D,Q,P,P,P,,63.0,24.0,C,13.0,13.0,301.0,2020-06-03,Ohio St.,1991-07-27,1,6.0,Green Bay Packers / 5th / 161st pick / 2014,556250.0
Clay Matthews,,,,,P,,,P,P,P,P,,P,P,P,P,P,,,,,,,,,,,,,,
Ty Montgomery,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andy Mulumba,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
Mike Neal,,,Q,P,,,,,Q,P,,,,,,Q,P,P,96.0,28.0,ROLB,16.0,15.0,262.0,2020-06-03,Purdue,1987-06-26,5,8.0,Green Bay Packers / 2nd / 56th pick / 2010,4250000.0
Jordy Nelson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nate Palmer,,,,,,,P,,,,,P,,,,,,,51.0,26.0,LILB,16.0,10.0,248.0,2020-06-02,Illinois St.,1989-09-23,2,6.0,Green Bay Packers / 6th / 193rd pick / 2013,609724.0
Mike Pennel,,,,,,,,,,,Q,,,,,,,,64.0,24.0,lde,16.0,5.0,330.0,2020-06-04,Arizona St.,1991-05-09,1,4.0,,511166.0
Justin Perillo,,,,,,,,,,,,,,,Q,O,Q,P,,,,,,,,,,,,,
Nick Perry,,,,,,D,Q,P,P,P,,,Q,P,,P,P,,,,,,,,,,,,,,
Andrew Quarless,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,O,,,,,,,,,,,,,
B.J. Raji,,,,,,D,Q,,,,,,,,,Q,,,90.0,29.0,NT,15.0,15.0,334.0,2020-06-02,Boston Col.,1986-07-11,6,8.0,Green Bay Packers / 1st / 9th pick / 2009,1750000.0
Damarious Randall,,,,,,,Q,,P,,Q,Q,P,,,,P,,23.0,23.0,LCB,15.0,9.0,196.0,2020-05-11,Arizona St.,1992-08-29,Rook,5.0,Green Bay Packers / 1st / 30th pick / 2015,1439224.0
Sean Richardson,,,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Aaron Ripkowski,,,Q,P,,,,P,,,P,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Richard Rodgers,,,,,,,,,,,,,,,,,,P,82.0,23.0,TE,16.0,12.0,257.0,2020-06-04,California,1992-01-22,1,5.0,Green Bay Packers / 3rd / 98th pick / 2014,649004.0
Quinten Rollins,,,,,,,,Q,P,,,,,,P,,,Q,,,,,,,,,,,,,
Jake Ryan,,,,D,D,P,,,,,,,,,,,,,47.0,23.0,lilb,14.0,5.0,240.0,2020-06-02,Michigan,1992-02-27,Rook,4.0,Green Bay Packers / 4th / 129th pick / 2015,549169.0
Sam Shields,,,,,,,,Q,Q,,,,,O,D,Q,D,Q,37.0,28.0,RCB,12.0,12.0,178.0,2020-05-11,Miami (FL),1987-12-08,5,5.0,,9062500.0
Josh Sitton,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,
James Starks,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Lane Taylor,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
J.C. Tretter,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
