Player ,09/11vs. ARI,09/18vs. MIA,09/22vs. HOU,10/02vs. BUF,10/09vs. CLE,10/16vs. CIN,10/23vs. PIT,10/30vs. BUF,11/13vs. SEA,11/20vs. SFO,11/27vs. NYJ,12/04vs. LAR,12/12vs. BAL,12/18vs. DEN,12/24vs. NYJ,01/01vs. MIA,01/14vs. HOU,01/22vs. PIT,02/05vs. ATL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Danny Amendola,,,,,,,,,,,,,O,O,O,O,,Q,,,,,,,,,,,,,,
LeGarrette Blount,,,,,Q,Q,,,,,,,,,,,,,,29.0,30.0,RB,16.0,8.0,247.0,2000-06-01,"East Mississippi CC,Oregon",1986-12-05,6,8.0,,760000.0
Brandon Bolden,,,,,O,Q,Q,Q,,,,,,,,,,Q,,,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,Q,Q,,,Q,Q,,,,,,,,,,,,,,,,
Alan Branch,,,,,,,,,Q,,,,,,,,,,,97.0,32.0,LDT,16.0,16.0,350.0,2020-06-06,Michigan,1984-12-29,9,9.0,Arizona Cardinals / 2nd / 33rd pick / 2007,1200000.0
Jacoby Brissett,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Malcolm Butler,,Q,,,,,,,,,,,,Q,,,,,,21.0,26.0,LCB,16.0,16.0,190.0,2020-05-11,West Alabama,1990-03-02,2,13.0,,600000.0
Marcus Cannon,,Q,,Q,Q,Q,,,,,,,,,,,,,,61.0,28.0,RT,15.0,15.0,335.0,2020-06-06,TCU,1988-05-06,5,15.0,New England Patriots / 5th / 138th pick / 2011,3400000.0
Nate Ebner,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Julian Edelman,,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,11.0,30.0,WR,16.0,13.0,198.0,2020-05-10,Kent St.,1986-05-22,7,11.0,New England Patriots / 7th / 232nd pick / 2009,2500000.0
Trey Flowers,Q,Q,Q,,,,,,,,,Q,,,,,,,,98.0,23.0,RDE,16.0,8.0,265.0,2020-06-02,Arkansas,1993-08-16,1,7.0,New England Patriots / 4th / 101st pick / 2015,525000.0
Michael Floyd,,,,,,,,Q,,,Q,,,,,,,,,,,,,,,,,,,,,
Jonathan Freeny,,,Q,Q,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jimmy Garoppolo,,,D,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Gronkowski,Q,Q,Q,Q,Q,Q,,,,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,87.0,27.0,TE,8.0,6.0,268.0,2020-06-06,Arizona,1989-05-14,6,5.0,New England Patriots / 2nd / 42nd pick / 2010,2250000.0
Woodrow Hamilton,,,,,,,Q,Q,,,,Q,,,,,,,,,,,,,,,,,,,,
Dont'a Hightower,,D,Q,Q,Q,Q,,,,,,,,Q,Q,Q,,Q,,,,,,,,,,,,,,
Chris Hogan,Q,Q,,,,,,,Q,O,Q,Q,,,,,,Q,,15.0,29.0,WR,15.0,14.0,210.0,2020-06-01,Monmouth,1987-10-24,5,7.0,,1000000.0
Tre' Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cyrus Jones,,,,,,,,,,,Q,,,,,O,,,,,,,,,,,,,,,,
Jonathan Jones,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Dion Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,33.0,26.0,rb,7.0,5.0,195.0,2020-05-08,Pittsburgh,1990-09-27,5,3.0,Philadelphia Eagles / 5th / 149th pick / 2011,800000.0
Shaq Mason,Q,Q,,,,,,,,,,,,,,,,,,69.0,23.0,RG,16.0,15.0,310.0,2020-06-01,Georgia Tech,1993-08-28,1,8.0,New England Patriots / 4th / 131st pick / 2015,525000.0
Shea McClellin,Q,Q,,,O,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Mitchell,Q,,,,,Q,Q,Q,,,,,,,,D,Q,Q,,19.0,24.0,wr,14.0,6.0,200.0,2020-06-01,Georgia,1992-07-20,Rook,4.0,New England Patriots / 4th / 112th pick / 2016,450000.0
Jordan Richards,,,,,,,,,,,,O,Q,Q,Q,,,,,,,,,,,,,,,,,
Elandon Roberts,,,,,,,Q,Q,,,,Q,Q,Q,,,,,,52.0,22.0,llb,13.0,5.0,238.0,2000-06-01,Houston,1994-04-22,Rook,4.0,New England Patriots / 6th / 214th pick / 2016,450000.0
Eric Rowe,,O,Q,Q,,,,,,,,,Q,Q,,,,,,25.0,24.0,rcb,9.0,7.0,205.0,2020-06-01,Utah,1992-10-03,1,3.0,Philadelphia Eagles / 2nd / 47th pick / 2015,656811.0
Greg Scruggs,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matthew Slater,,,,,,,,,,,O,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,
Nate Solder,Q,Q,,,,,,,,,,,,,,,,,,77.0,28.0,LT,15.0,15.0,325.0,2020-06-08,Colorado,1988-04-12,5,9.0,New England Patriots / 1st / 17th pick / 2011,6000000.0
Joe Thuney,,,,,Q,Q,,,,,,,,,,,,,,62.0,24.0,LG,16.0,16.0,308.0,2020-06-05,North Carolina St.,1992-11-18,Rook,8.0,New England Patriots / 3rd / 78th pick / 2016,450000.0
Vincent Valentine,,,,,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Vollmer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
