Player ,09/10vs. KAN,09/20vs. BAL,09/27vs. PIT,10/04vs. MIN,10/11vs. JAX,10/18vs. TEN,10/25vs. GNB,11/08vs. JAX,11/15vs. CLE,11/22vs. NWE,11/26vs. DET,12/06vs. IND,12/13vs. CHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jordan Akins,,,,,Q,Q,Q,,,,,,,88.0,28.0,TE,10.0,4.0,243.0,2020-06-04,Central Florida,1992-04-19,2,,Houston Texans / 3rd / 98th pick / 2018,750000.0
Bryan Anger,,,,,,,,,,Q,Q,,,9.0,32.0,P,13.0,0.0,205.0,2020-06-03,California,1988-10-06,8,,Jacksonville Jaguars / 3rd / 70th pick / 2012,1250000.0
Cornell Armstrong,,,,,,Q,,,,,,,,30.0,25.0,CB,7.0,0.0,185.0,2000-06-01,Southern Miss,1995-09-22,2,,Miami Dolphins / 6th / 209th pick / 2018,750000.0
Randall Cobb,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Dylan Cole,,,,,,,,C19,Q,IR,IR,,,,,,,,,,,,,,,
Gareon Conley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandin Cooks,Q,Q,,,,,,,,,,,,13.0,27.0,WR,12.0,12.0,183.0,2020-05-10,Oregon St.,1993-09-25,6,,New Orleans Saints / 1st / 20th pick / 2014,8000000.0
Isaiah Coulter,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,82.0,22.0,WR,1.0,0.0,198.0,2020-06-02,Rhode Island,1998-09-18,Rook,,Houston Texans / 5th / 171st pick / 2020,523527.0
Keion Crossen,,,,,Q,,,,,,,,,35.0,24.0,CB,13.0,1.0,185.0,2020-05-10,West. Carolina,1996-04-17,2,,New England Patriots / 7th / 243rd pick / 2018,750000.0
Duke Ejiofor,,,,,,,,,IR,,,,,,,,,,,,,,,,,
Kyle Emanuel,,,,,,,,O,IR,IR,IR,IR,,56.0,29.0,OLB,4.0,0.0,250.0,2020-06-03,North Dakota St.,1991-08-16,5,,San Diego Chargers / 5th / 153rd pick / 2015,642353.0
Cullen Gillaspia,Q,,,Q,,,,,,Q,O,IR,IR,,,,,,,,,,,,,
Jonathan Greenard,Q,,,,,,,,,,,,,52.0,23.0,DL,10.0,0.0,263.0,2020-06-03,"Louisville,Florida",1997-05-25,Rook,,Houston Texans / 3rd / 90th pick / 2020,610000.0
P.J. Hall,,,,,,,Q,,,,IR,IR,IR,,,,,,,,,,,,,
Tytus Howard,,Q,,,,,,,,,,,,71.0,24.0,,13.0,13.0,322.0,2020-06-05,Alabama St.,1996-05-23,1,,Houston Texans / 1st / 23rd pick / 2019,1050707.0
Buddy Howell,,,,,Q,Q,,,,,,,,38.0,24.0,RB,11.0,0.0,215.0,2020-06-01,Florida Atlantic,1996-03-27,2,,,750000.0
David Johnson,,,,,,,,,O,IR,IR,IR,C19,31.0,29.0,RB,9.0,9.0,224.0,2020-06-01,Northern Iowa,1991-12-16,5,,Arizona Cardinals / 3rd / 86th pick / 2015,10200000.0
Duke Johnson,,Q,Q,,,,,,,,,,,25.0,27.0,RB,11.0,5.0,210.0,2020-05-09,Miami (FL),1993-09-23,5,,Cleveland Browns / 3rd / 77th pick / 2015,3600000.0
Peter Kalambayi,,Q,Q,Q,Q,Q,Q,,,,,,,58.0,25.0,LB,7.0,0.0,254.0,2020-06-03,Stanford,1995-06-26,2,,Houston Texans / 6th / 214th pick / 2018,750000.0
Senio Kelemete,,,,,,,,,O,Q,,,,64.0,30.0,T,11.0,5.0,301.0,2020-06-03,Washington,1990-05-10,8,,Arizona Cardinals / 5th / 151st pick / 2012,1300000.0
Jacob Martin,,,,,,,,C19,C19,C19,,,,54.0,25.0,LB,11.0,0.0,242.0,2020-06-02,Temple,1995-12-11,2,,Seattle Seahawks / 6th / 186th pick / 2018,750000.0
Josh McCown,,,,,,,,,O,,O,,,3.0,41.0,QB,,,218.0,2020-06-04,"SMU,Sam Houston St.",1979-07-04,18,,Arizona Cardinals / 3rd / 81st pick / 2002,555882.0
Benardrick McKinney,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Whitney Mercilus,,,,,,,,C19,C19,,,,,59.0,30.0,DE,12.0,11.0,258.0,2020-06-04,Illinois,1990-07-21,8,,Houston Texans / 1st / 26th pick / 2012,10500000.0
A.J. Moore,,,,IR,IR,IR,IR,IR,IR,,,,,33.0,25.0,DB,8.0,3.0,200.0,2020-05-11,Mississippi,1995-12-15,2,,,502942.0
Charles Omenihu,,,,,,,,,Q,Q,,,,94.0,23.0,DL,12.0,2.0,280.0,2020-06-05,Texas,1997-08-20,1,,Houston Texans / 5th / 161st pick / 2019,675000.0
Bradley Roby,,,,,,,,O,,,,,,21.0,28.0,CB,10.0,10.0,194.0,2020-05-11,Ohio St.,1992-05-01,6,,Denver Broncos / 1st / 31st pick / 2014,4500000.0
Brennan Scarlett,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Max Scharping,,,,,,,,C19,C19,,,,,74.0,24.0,OT,12.0,7.0,327.0,2020-06-06,Northern Illinois,1996-08-10,1,,Houston Texans / 2nd / 55th pick / 2019,725368.0
Kenny Stills,,,Q,,,,,,,Q,O,,,,,,,,,,,,,,,
Michael Thomas,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Laremy Tunsil,,,,,,,,,,Q,,,,78.0,26.0,OT,12.0,12.0,313.0,2020-06-05,Mississippi,1994-08-02,4,,Miami Dolphins / 1st / 13th pick / 2016,10850000.0
Eddie Vanderdoes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kahale Warring,,,,,,,,,IR,,,,,81.0,23.0,TE,4.0,0.0,252.0,2020-06-05,San Diego St.,1997-03-23,Rook,,Houston Texans / 3rd / 86th pick / 2019,658252.0
